# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Full Version
# File: D:\PROJECT\RPi-CNC-HAT\spi_cpld_firmware\spi_cpld_driver.csv
# Generated on: Fri Jan 18 11:21:50 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,I/O Standard,Current Strength,Weak Pull-Up Resistor
LED,Output,PIN_78,2,,,
MISO,Output,PIN_3,1,,,
MOSI,Input,PIN_2,1,,,
SCK,Input,PIN_1,2,,,
SSEL,Input,PIN_4,1,,,
clk,Input,PIN_64,2,,,
din[12],Input,PIN_52,2,,,
din[11],Input,PIN_61,2,,,
din[10],Input,PIN_53,2,,,
din[9],Input,PIN_58,2,,,
din[8],Input,PIN_54,2,,,
din[7],Input,PIN_57,2,,,
din[6],Input,PIN_55,2,,,
din[5],Input,PIN_56,2,,,
din[4],Input,PIN_51,1,3.3V Schmitt Trigger Input,,On
din[3],Input,PIN_50,1,3.3V Schmitt Trigger Input,,On
din[2],Input,PIN_49,1,3.3V Schmitt Trigger Input,,On
din[1],Input,PIN_48,1,3.3V Schmitt Trigger Input,,On
din[0],Input,PIN_47,1,3.3V Schmitt Trigger Input,,On
dir[3],Output,PIN_40,1,,,
dir[2],Output,PIN_76,2,,,
dir[1],Output,PIN_74,2,,,
dir[0],Output,PIN_72,2,,,
dout[8],Output,PIN_42,1,,,
dout[7],Output,PIN_99,2,,,
dout[6],Output,PIN_100,2,,,
dout[5],Output,PIN_97,2,,,
dout[4],Output,PIN_98,2,,,
dout[3],Output,PIN_95,2,,,
dout[2],Output,PIN_96,2,,,
dout[1],Output,PIN_91,2,,,
dout[0],Output,PIN_92,2,,,
pout,Output,PIN_43,1,,,
rin,Input,,,,,
step[3],Output,PIN_41,1,,,
step[2],Output,PIN_77,2,,,
step[1],Output,PIN_75,2,,,
step[0],Output,PIN_73,2,,,
